drug,p_order,d_order,q_order,P_order,D_order,Q_order,MAPE,AIC
Enoxaparin,0,0,0,0,0,0,100.0,213.76232948067576
Enoxaparin,0,0,0,0,0,1,99.99999999999935,1483.5229986029108
Enoxaparin,0,0,0,0,1,0,7.71685375576145,43.066693255414236
Enoxaparin,0,0,0,0,1,1,14.460152236741441,34.445059639515875
Enoxaparin,0,0,0,1,0,0,21.950869305364126,18.288211588673363
Enoxaparin,0,0,0,1,0,1,23.026688757870524,1383.962789547466
Enoxaparin,0,0,0,1,1,0,21.73907644473927,33.28069544401172
Enoxaparin,0,0,0,1,1,1,21.85125798625419,33.01979383392752
Enoxaparin,0,0,1,0,0,0,96.63942050192058,153.3410087205992
Enoxaparin,0,0,1,0,0,1,96.756299640944,1362.980043719042
Enoxaparin,0,0,1,0,1,0,8.419340752639991,17.925017106842567
Enoxaparin,0,0,1,0,1,1,9.46720647116515,19.320720169057772
Enoxaparin,0,0,1,1,0,0,19.941897388504316,6.8990571084414976
Enoxaparin,0,0,1,1,0,1,22.2197313173341,1267.6389188696812
Enoxaparin,0,0,1,1,1,0,10.276125042630442,21.03287311107184
Enoxaparin,0,0,1,1,1,1,8.429108887884096,22.454648260398947
Enoxaparin,0,0,2,0,0,0,93.4969459165081,112.41044144994174
Enoxaparin,0,0,2,0,0,1,96.5715016244436,1050.7380882507362
Enoxaparin,0,0,2,0,1,0,8.45249836040805,16.575663475215855
Enoxaparin,0,0,2,0,1,1,9.324456269191678,18.54126418241388
Enoxaparin,0,0,2,1,0,0,19.62302726564952,8.595196826108083
Enoxaparin,0,0,2,1,0,1,22.351372191129816,950.4898325781918
Enoxaparin,0,0,2,1,1,0,8.718337911126078,17.032412765751992
Enoxaparin,0,0,2,1,1,1,14.077988771244202,19.34851070788836
Enoxaparin,0,1,0,0,0,0,8.995764971979243,-8.526531169450687
Enoxaparin,0,1,0,0,0,1,8.995764971979291,1418.4348439583184
Enoxaparin,0,1,0,0,1,0,12.199389852848403,8.288011871258433
Enoxaparin,0,1,0,0,1,1,10.244523999374794,7.814897123105642
Enoxaparin,0,1,0,1,0,0,9.534026228170301,0.7706558815988167
Enoxaparin,0,1,0,1,0,1,9.333131626795328,1388.4313172012048
Enoxaparin,0,1,0,1,1,0,8.207057257585827,7.431004239865827
Enoxaparin,0,1,0,1,1,1,8.68180004893096,9.771703014665333
Enoxaparin,0,1,1,0,0,0,8.666316840835037,-7.919483472934525
Enoxaparin,0,1,1,0,0,1,8.844041363073794,1334.8805118481143
Enoxaparin,0,1,1,0,1,0,13.306506765736206,10.055617061872317
Enoxaparin,0,1,1,0,1,1,12.575683703691675,8.813672831476051
