drug,date,forecast,ci_lower,ci_upper
Acenocoumarol,2027-04-01,1.4130013298033186,1.1548846868134324,1.6711179727932048
Acenocoumarol,2027-05-01,1.3671403949953511,1.1090294267606309,1.6252513632300714
Acenocoumarol,2027-06-01,1.4123831546630519,1.1542721883592497,1.670494120966854
Acenocoumarol,2027-07-01,1.4342038743040373,1.1760929223680832,1.6923148262399914
Acenocoumarol,2027-08-01,1.2898018104747917,1.031690858549884,1.5479127623996993
Acenocoumarol,2027-09-01,1.334782486332895,1.0766715344442412,1.5928934382215487
Acenocoumarol,2027-10-01,1.3335879079093058,1.075476956020702,1.5916988597979096
Acenocoumarol,2027-11-01,1.3495601492107314,1.0914491973222187,1.6076711010992442
Acenocoumarol,2027-12-01,1.3426634052355715,1.084552453347059,1.600774357124084
Acenocoumarol,2028-01-01,1.2652279732375211,1.006684190798442,1.5237717556766002
Acenocoumarol,2028-02-01,1.2882534237405436,1.0297096045466099,1.5467972429344774
Acenocoumarol,2028-03-01,1.3375195528543824,1.0807404398972247,1.5942986658115401
Acenocoumarol,2028-04-01,1.2548112335783597,0.9980322708337899,1.5115901963229295
Acenocoumarol,2028-05-01,1.2140845796356827,0.9573101154600692,1.4708590438112963
Acenocoumarol,2028-06-01,1.254262265156346,0.9974878025114324,1.5110367278012595
Acenocoumarol,2028-07-01,1.273640084237439,1.0168656329823755,1.5304145354925023
Acenocoumarol,2028-08-01,1.1454043012816943,0.8886298500353879,1.402178752528001
Acenocoumarol,2028-09-01,1.185349244127963,0.928574792910396,1.4421236953455299
Acenocoumarol,2028-10-01,1.1842884026455855,0.9275139514280581,1.441062853863113
Acenocoumarol,2028-11-01,1.1984724995658926,0.9416980483484375,1.4552469507833479
Acenocoumarol,2028-12-01,1.1923478685180582,0.9355734173006033,1.4491223197355132
Acenocoumarol,2029-01-01,1.1235815850767883,0.8664639569557029,1.3806992131978737
Acenocoumarol,2029-02-01,1.14402926148019,0.8869116042124565,1.4011469187479233
Acenocoumarol,2029-03-01,1.1877798871470264,0.9320606713718043,1.4434991029222486
Acenocoumarol,2029-04-01,1.114331033314465,0.8586119364919381,1.3700501301369918
Acenocoumarol,2029-05-01,1.0781638607892678,0.8224483263573394,1.3338793952211963
Acenocoumarol,2029-06-01,1.113843523693424,0.8581279904736461,1.3695590569132021
Acenocoumarol,2029-07-01,1.131051932880547,0.8753364086803088,1.3867674570807853
Acenocoumarol,2029-08-01,1.0171725630557624,0.7614570388624586,1.2728880872490662
Acenocoumarol,2029-09-01,1.0526455395851761,0.796930015414631,1.3083610637557213
Acenocoumarol,2029-10-01,1.051703462758314,0.7959879385878001,1.3074189869288277
Acenocoumarol,2029-11-01,1.064299603878891,0.8085840797084345,1.3200151280493475
Acenocoumarol,2029-12-01,1.0588606452040144,0.803145121033558,1.3145761693744706
Acenocoumarol,2030-01-01,0.9977929709325758,0.741805650300346,1.2537802915648055
Acenocoumarol,2030-02-01,1.015951463433878,0.7599641197143201,1.2719388071534359
Acenocoumarol,2030-03-01,1.0548040642098941,0.7999238204892481,1.30968430793054
Acenocoumarol,2030-04-01,0.9895780485377205,0.7346978989351659,1.2444581981402751
Acenocoumarol,2030-05-01,0.9574599086505479,0.7025825776886738,1.212337239612422
Acenocoumarol,2030-06-01,0.9891451172049208,0.734267787202125,1.2440224472077166
Acenocoumarol,2030-07-01,1.0044269889941149,0.7495496661277643,1.2593043118604654
Acenocoumarol,2030-08-01,0.9032967851401279,0.6484194622792641,1.1581741080009917
Acenocoumarol,2030-09-01,0.9347984465318873,0.6799211236890306,1.189675769374744
Acenocoumarol,2030-10-01,0.9339618382709417,0.6790845154281098,1.1888391611137736
Acenocoumarol,2030-11-01,0.9451478004101553,0.6902704775673687,1.200025123252942
Acenocoumarol,2030-12-01,0.9403177508551746,0.685440428012388,1.195195073697961
Apixaban,2023-01-01,10.124023874228465,9.664548983255852,10.583498765201078
Apixaban,2023-02-01,10.891856440922888,10.417925878103933,11.365787003741843
Apixaban,2023-03-01,10.86493226243114,10.36477976433457,11.36508476052771
Apixaban,2023-04-01,11.015645098100737,10.447461623761873,11.583828572439602
Apixaban,2023-05-01,10.690323858885465,10.101418417796497,11.279229299974434
Apixaban,2023-06-01,11.307116511169342,10.718213234733241,11.896019787605443
Apixaban,2023-07-01,11.342605871474909,10.741881432619241,11.943330310330577
Apixaban,2023-08-01,10.82041456659657,10.210251717451754,11.430577415741386
Apixaban,2023-09-01,11.609432320107345,10.996657769513487,12.222206870701203
Apixaban,2023-10-01,10.964051090620616,10.350383042098363,11.57771913914287
Apixaban,2023-11-01,11.820748666952444,11.20500773582509,12.436489598079797
Apixaban,2023-12-01,12.023163883544566,11.405093715945277,12.641234051143854
Apixaban,2024-01-01,11.326489254542683,10.68416810190826,11.968810407177106
Apixaban,2024-02-01,12.164297065673916,11.519530543263349,12.809063588084483
Apixaban,2024-03-01,12.226858819785244,11.581732823030686,12.871984816539802
Apixaban,2024-04-01,12.051062768831667,11.398982096101804,12.70314344156153
Apixaban,2024-05-01,12.144930340776725,11.490802481171476,12.799058200381973
Apixaban,2024-06-01,12.580225363480968,11.92575046089708,13.234700266064857
Apixaban,2024-07-01,12.30743781146729,11.6517402861523,12.96313533678228
Apixaban,2024-08-01,12.137974486222792,11.481770649598861,12.794178322846722
Apixaban,2024-09-01,12.822839579389441,12.165860499745538,13.479818659033345
Apixaban,2024-10-01,12.125150305042347,11.468109426017394,12.7821911840673
Apixaban,2024-11-01,12.986013608536714,12.329043770179666,13.642983446893762
Apixaban,2024-12-01,13.102206741582435,12.444710260590396,13.759703222574474
Apixaban,2025-01-01,12.544838039216868,11.796917096963831,13.292758981469905
Apixaban,2025-02-01,13.34169517389194,12.58949613586826,14.093894211915622
Apixaban,2025-03-01,13.348703941606516,12.589922421202061,14.10748546201097
Apixaban,2025-04-01,13.373518096400993,12.586070210065188,14.160965982736798
Apixaban,2025-05-01,13.209665470906875,12.415308045565286,14.004022896248465
Apixaban,2025-06-01,13.756472402196277,12.962030099448402,14.550914704944152
Apixaban,2025-07-01,13.674107360600404,12.873824409878733,14.474390311322075
Apixaban,2025-08-01,13.287237932578382,12.484264963325876,14.090210901830888
Apixaban,2025-09-01,14.03588778203266,13.231161613274969,14.84061395079035
Apixaban,2025-10-01,13.370716562326935,12.56540707888377,14.1760260457701
Apixaban,2025-11-01,14.229250273612646,13.423735939677243,15.034764607548048
Apixaban,2025-12-01,14.39840017307694,13.591366127934066,15.205434218219814
Apixaban,2026-01-01,13.755098822821612,12.909530807375653,14.600666838267571
Apixaban,2026-02-01,14.577291007689109,13.730023300059063,15.424558715319154
